ptype,metric,noise,friedman_chi2,friedman_p,n_datasets,n_algorithms
BinaryVector,afrd,0.0,63.39020363236103,1.2906626083869292e-08,8,14
BinaryVector,afrd,0.1,61.03462489694968,3.428546138435501e-08,8,14
BinaryVector,afrd,0.2,65.03577325261416,6.494998677509709e-09,8,14
BinaryVector,afrd,0.3,69.28445667125169,1.0868395597315067e-09,8,14
BinaryVector,example_precision,0.0,27.30608312689238,0.011293321803894344,8,14
BinaryVector,example_precision,0.1,38.770292655991156,0.00021753851192064566,8,14
BinaryVector,example_precision,0.2,47.74088397790052,7.239952917851693e-06,8,14
BinaryVector,example_precision,0.3,57.34114081014054,1.5620146055450693e-07,8,14
BinaryVector,example_recall,0.0,87.09928295642578,4.999244776485585e-13,8,14
BinaryVector,example_recall,0.1,92.63796423658867,4.3643083653290575e-14,8,14
BinaryVector,example_recall,0.2,92.78297989534559,4.093314620035339e-14,8,14
BinaryVector,example_recall,0.3,93.14277839029769,3.491214839878254e-14,8,14
BinaryVector,f1,0.0,65.78722818607211,4.7414725515784485e-09,8,14
BinaryVector,f1,0.1,65.8160792951542,4.684468520951507e-09,8,14
BinaryVector,f1,0.2,58.37627586206898,1.0232556856824266e-07,8,14
BinaryVector,f1,0.3,59.75130817956483,5.8196867759325606e-08,8,14
BinaryVector,hamming_accuracy,0.0,70.54724300360209,6.364116506985499e-10,8,14
BinaryVector,hamming_accuracy,0.1,76.82534435261707,4.345409200690769e-11,8,14
BinaryVector,hamming_accuracy,0.2,86.66547455295736,6.046098035409562e-13,8,14
BinaryVector,hamming_accuracy,0.3,89.4617501375894,1.771175287540048e-13,8,14
BinaryVector,jaccard,0.0,59.8901734104046,5.49645602519759e-08,8,14
BinaryVector,jaccard,0.1,53.9748201438849,6.10973118624371e-07,8,14
BinaryVector,jaccard,0.2,44.01022947193805,3.056954660981367e-05,8,14
BinaryVector,jaccard,0.3,44.495584988962484,2.5393259477544857e-05,8,14
BinaryVector,macro_f1,0.0,49.94793388429749,3.0434181878672533e-06,8,14
BinaryVector,macro_f1,0.1,46.696802646086,1.0869574973464938e-05,8,14
BinaryVector,macro_f1,0.2,47.94176097157053,6.693656245509217e-06,8,14
BinaryVector,macro_f1,0.3,42.60792951541846,5.207248630679772e-05,8,14
BinaryVector,macro_precision,0.0,51.45070422535208,1.6774826999330922e-06,8,14
BinaryVector,macro_precision,0.1,55.20779220779217,3.7153602195977517e-07,8,14
BinaryVector,macro_precision,0.2,65.8772123893805,4.565921337731022e-09,8,14
BinaryVector,macro_precision,0.3,75.91899364113904,6.416621376065057e-11,8,14
BinaryVector,macro_recall,0.0,84.85962014863748,1.3322450554282828e-12,8,14
BinaryVector,macro_recall,0.1,91.25027502750272,8.054556972704736e-14,8,14
BinaryVector,macro_recall,0.2,91.87692731277534,6.108415756832149e-14,8,14
BinaryVector,macro_recall,0.3,91.32535753575354,7.792124805403825e-14,8,14
BinaryVector,mfrd,0.0,71.4617871840094,4.31479179497437e-10,8,14
BinaryVector,mfrd,0.1,76.03513664249859,6.104253208760509e-11,8,14
BinaryVector,mfrd,0.2,77.65761020238425,3.036098658126338e-11,8,14
BinaryVector,mfrd,0.3,64.78524229074887,7.212357104506695e-09,8,14
BinaryVector,micro_f1,0.0,36.0760749724366,0.0005774251083722595,8,14
BinaryVector,micro_f1,0.1,40.232974910394276,0.0001267905832878849,8,14
BinaryVector,micro_f1,0.2,35.525213557453846,0.0007027829238086581,8,14
BinaryVector,micro_f1,0.3,41.289263041678126,8.551651816493763e-05,8,14
BinaryVector,micro_precision,0.0,57.75668228162028,1.3183331539559453e-07,8,14
BinaryVector,micro_precision,0.1,87.95912731289698,3.428283050570738e-13,8,14
BinaryVector,micro_precision,0.2,90.32467532467528,1.2113198132827027e-13,8,14
BinaryVector,micro_precision,0.3,91.8860375275938,6.083893635210332e-14,8,14
BinaryVector,micro_recall,0.0,86.18903279140255,7.448955259068792e-13,8,14
BinaryVector,micro_recall,0.1,93.19526952695271,3.4110879621242155e-14,8,14
BinaryVector,micro_recall,0.2,92.32433920704845,5.013101625364157e-14,8,14
BinaryVector,micro_recall,0.3,92.26164874551968,5.153887741033015e-14,8,14
BinaryVector,subset0_1,0.0,55.06180400890869,3.9412709982349634e-07,8,14
BinaryVector,subset0_1,0.1,53.8202154101077,6.501750047127269e-07,8,14
BinaryVector,subset0_1,0.2,59.890798226164065,5.495042668140782e-08,8,14
BinaryVector,subset0_1,0.3,82.47600446428571,3.766092254172472e-12,8,14
PartialAbstention,aabs,0.0,51.3365650969529,7.888154257112942e-09,9,8
PartialAbstention,aabs,0.1,50.553450608930945,1.1246100059809613e-08,9,8
PartialAbstention,aabs,0.2,51.84794520547942,6.255598497871908e-09,9,8
PartialAbstention,aabs,0.3,53.55421686746984,2.881094077803118e-09,9,8
PartialAbstention,abs,0.0,51.92566619915849,6.03885553728326e-09,9,8
PartialAbstention,abs,0.1,52.54381084840056,4.561162034119094e-09,9,8
PartialAbstention,abs,0.2,54.40730337078647,1.9535551447915383e-09,9,8
PartialAbstention,abs,0.3,53.019801980198,3.6739230343445103e-09,9,8
PartialAbstention,arec,0.0,49.51709986320108,1.796663558923011e-08,9,8
PartialAbstention,arec,0.1,60.80428954423593,1.0427302136265914e-10,9,8
PartialAbstention,arec,0.2,60.8504672897196,1.0208016602090349e-10,9,8
PartialAbstention,arec,0.3,60.728723404255305,1.0796321521364448e-10,9,8
PartialAbstention,f1_pa,0.0,29.810666666666666,0.00010286046086932443,9,8
PartialAbstention,f1_pa,0.1,45.14814814814815,1.2799634826358273e-07,9,8
PartialAbstention,f1_pa,0.2,31.891999999999967,4.253163953511291e-05,9,8
PartialAbstention,f1_pa,0.3,22.633952254641912,0.001973585713357546,9,8
PartialAbstention,hamming_accuracy_pa,0.0,18.515519568151152,0.009848428534586163,9,8
PartialAbstention,hamming_accuracy_pa,0.1,48.27490039840635,3.146073491809875e-08,9,8
PartialAbstention,hamming_accuracy_pa,0.2,17.141145139813577,0.016508374295984507,9,8
PartialAbstention,hamming_accuracy_pa,0.3,24.975999999999992,0.0007662696460783822,9,8
PartialAbstention,rec,0.0,45.63315217391305,1.0302955114241562e-07,9,8
PartialAbstention,rec,0.1,55.157754010695186,1.3873621164757583e-09,9,8
PartialAbstention,rec,0.2,58.79255319148935,2.6285967794857273e-10,9,8
PartialAbstention,rec,0.3,57.14939434724088,5.582535931222749e-10,9,8
PartialAbstention,subset0_1_pa,0.0,42.8833107191316,3.5132223715044905e-07,9,8
PartialAbstention,subset0_1_pa,0.1,54.9467376830892,1.527577288194996e-09,9,8
PartialAbstention,subset0_1_pa,0.2,58.74236387782202,2.689844561327211e-10,9,8
PartialAbstention,subset0_1_pa,0.3,57.24966442953016,5.332046696125483e-10,9,8
ScoreVector,auc_macro,0.0,52.665529010238934,1.0331655066427745e-06,7,14
ScoreVector,auc_macro,0.1,35.69618790912598,0.0006612870561779735,7,14
ScoreVector,auc_macro,0.2,43.264921062764735,4.059840675101902e-05,7,14
ScoreVector,auc_macro,0.3,62.286869464767115,2.0414753166688575e-08,7,14
ScoreVector,auc_micro,0.0,56.770063456513604,1.9711861746105387e-07,8,14
ScoreVector,auc_micro,0.1,61.80290959473497,2.4950118807905137e-08,8,14
ScoreVector,auc_micro,0.2,77.49612403100775,3.254991727920902e-11,8,14
ScoreVector,auc_micro,0.3,67.61139197842937,2.2027390932014707e-09,8,14
ScoreVector,auprc_macro,0.0,52.95074626865669,9.216841085285022e-07,8,14
ScoreVector,auprc_macro,0.1,46.866576819407015,1.0176253284007842e-05,8,14
ScoreVector,auprc_macro,0.2,66.66442048517517,3.281057463941403e-09,8,14
ScoreVector,auprc_macro,0.3,74.80763983628923,1.0337899375060096e-10,8,14
ScoreVector,auprc_micro,0.0,54.85223880597017,4.28952198088949e-07,8,14
ScoreVector,auprc_micro,0.1,56.6428571428571,2.0758915216441446e-07,8,14
ScoreVector,auprc_micro,0.2,68.13611859838271,1.7655708820347914e-09,8,14
ScoreVector,auprc_micro,0.3,65.22776280323447,5.993633090781702e-09,8,14
ScoreVector,coverage,0.0,54.17879805897723,5.628096611442599e-07,8,14
ScoreVector,coverage,0.1,64.36927223719674,8.58117828802424e-09,8,14
ScoreVector,coverage,0.2,75.63477088948788,7.249767445815945e-11,8,14
ScoreVector,coverage,0.3,67.99595687331534,1.873104025281648e-09,8,14
ScoreVector,lr_ap,0.0,55.89999999999998,2.8070075744461507e-07,8,14
ScoreVector,lr_ap,0.1,68.9595687331536,1.2469391593009896e-09,8,14
ScoreVector,lr_ap,0.2,72.76145552560646,2.480159846222996e-10,8,14
ScoreVector,lr_ap,0.3,67.60709413369713,2.206731264470211e-09,8,14
ScoreVector,one_error,0.0,31.004555808655994,0.003366451629673741,8,14
ScoreVector,one_error,0.1,45.57229524772494,1.679140080142541e-05,8,14
ScoreVector,one_error,0.2,58.36698499317867,1.027155228504464e-07,8,14
ScoreVector,one_error,0.3,64.07142857142856,9.716908459589286e-09,8,14
ScoreVector,ranking_loss,0.0,60.207462686567155,4.8231982309855894e-08,8,14
ScoreVector,ranking_loss,0.1,66.1563342318059,4.061421762321216e-09,8,14
ScoreVector,ranking_loss,0.2,71.36698499317869,4.4923404365235356e-10,8,14
ScoreVector,ranking_loss,0.3,69.09973045822105,1.1751802837079306e-09,8,14
